season_num,episode_num,script_link,script_title
7,719,http://www.oocities.org/friends_greatestsitcom4/script/719.htm,The One With Ross And Monica's Cousin
7,720,http://www.oocities.org/friends_greatestsitcom4/script/720.htm,The One With Rachel's Big Kiss
7,721,http://www.oocities.org/friends_greatestsitcom4/script/721.htm,The One With The Vows
7,722,http://www.oocities.org/friends_greatestsitcom4/script/722.htm,The One With Chandler's Dad
7,723- 724,http://www.oocities.org/friends_greatestsitcom4/script/723.htm,TOW Chandler And Monica's Wedding
6,601,http://www.oocities.org/friends_greatestsitcom4/script/601.htm,The One After Vegas
6,602,http://www.oocities.org/friends_greatestsitcom4/script/602.htm,The One Where Ross Hugs Rachel
6,603,http://www.oocities.org/friends_greatestsitcom4/script/603.htm,The One With Ross's Denial
6,604,http://www.oocities.org/friends_greatestsitcom4/script/604.htm,The One Where Joey Loses His Insurance
6,605,http://www.oocities.org/friends_greatestsitcom4/script/605.htm,The One With Joey's Porsche
6,606,http://www.oocities.org/friends_greatestsitcom4/script/606.htm,The One On The Last Night
6,607,http://www.oocities.org/friends_greatestsitcom4/script/607.htm,The One Where Phoebe Runs
6,608,http://www.oocities.org/friends_greatestsitcom4/script/608.htm,The One With Ross's Teeth
6,609,http://www.oocities.org/friends_greatestsitcom4/script/609.htm,The One Where Ross Got High
6,610,http://www.oocities.org/friends_greatestsitcom4/script/610.htm,The One With The Routine
6,611,http://www.oocities.org/friends_greatestsitcom4/script/611.htm,The One With The Apothecary Table
6,612,http://www.oocities.org/friends_greatestsitcom4/script/612.htm,The One With The Joke
6,613,http://www.oocities.org/friends_greatestsitcom4/script/613.htm,The One With Rachel's Sister
6,614,http://www.oocities.org/friends_greatestsitcom4/script/614.htm,The One Where Chandler Can't Cry
6,615- 616,http://www.oocities.org/friends_greatestsitcom4/script/615.htm,The One That Could Have Been
6,617,http://www.oocities.org/friends_greatestsitcom4/script/617.htm,The One With Unagi
6,618,http://www.oocities.org/friends_greatestsitcom4/script/618.htm,The One Where Ross Dates A Student
6,619,http://www.oocities.org/friends_greatestsitcom4/script/619.htm,The One With Joey's Fridge
6,620,http://www.oocities.org/friends_greatestsitcom4/script/620.htm,The One With Mac And C.H.E.E.S.E.
6,621,http://www.oocities.org/friends_greatestsitcom4/script/621.htm,The One Where Ross Meets Elizabeth's Dad
6,622,http://www.oocities.org/friends_greatestsitcom4/script/622.htm,The One Where Paul's The Man
6,623,http://www.oocities.org/friends_greatestsitcom4/script/623.htm,The One With The Ring
6,624- 625,http://www.oocities.org/friends_greatestsitcom4/script/624.htm,The One With The Proposal
5,501,http://www.oocities.org/friends_greatestsitcom4/script/501.htm,The One After Ross Says Rachel
5,502,http://www.oocities.org/friends_greatestsitcom4/script/502.htm,The One With All The Kissing
5,503,http://www.oocities.org/friends_greatestsitcom4/script/503.htm,The One Hundredth
5,504,http://www.oocities.org/friends_greatestsitcom4/script/504.htm,The One Where Phoebe Hates PBS
5,505,http://www.oocities.org/friends_greatestsitcom4/script/505.htm,The One With The Kips
5,506,http://www.oocities.org/friends_greatestsitcom4/script/506.htm,The One With The Yeti
5,507,http://www.oocities.org/friends_greatestsitcom4/script/507.htm,The One Where Ross Moves In
5,508,http://www.oocities.org/friends_greatestsitcom4/script/508.htm,The One With The Thanksgiving Flashbacks
5,509,http://www.oocities.org/friends_greatestsitcom4/script/509.htm,The One With Ross's Sandwich
5,510,http://www.oocities.org/friends_greatestsitcom4/script/510.htm,The One With The Inappropriate Sister
5,511,http://www.oocities.org/friends_greatestsitcom4/script/511.htm,The One With All The Resolutions
5,512,http://www.oocities.org/friends_greatestsitcom4/script/512.htm,The One With Chandler's Work Laugh
5,513,http://www.oocities.org/friends_greatestsitcom4/script/513.htm,The One With Joey's Bag
5,514,http://www.oocities.org/friends_greatestsitcom4/script/514.htm,The One Where Everybody Finds Out
5,515,http://www.oocities.org/friends_greatestsitcom4/script/515.htm,The One With The Girl Who Hits Joey
5,516,http://www.oocities.org/friends_greatestsitcom4/script/516.htm,The One With The Cop
5,517,http://www.oocities.org/friends_greatestsitcom4/script/517.htm,The One With Rachel's Inadvertant Kiss
5,518,http://www.oocities.org/friends_greatestsitcom4/script/518.htm,The One Where Rachel Smokes
5,519,http://www.oocities.org/friends_greatestsitcom4/script/519.htm,The One Where Ross Can't Flirt
5,520,http://www.oocities.org/friends_greatestsitcom4/script/520.htm,The One With The Ride Along
5,521,http://www.oocities.org/friends_greatestsitcom4/script/521.htm,The One With The Ball
5,522,http://www.oocities.org/friends_greatestsitcom4/script/522.htm,The One With Joey's Big Break
5,523- 524,http://www.oocities.org/friends_greatestsitcom4/script/523.htm,The One In Vegas
4,401,http://www.oocities.org/friends_greatestsitcom4/script/401.htm,The One With The Jellyfish
4,402,http://www.oocities.org/friends_greatestsitcom4/script/402.htm,The One With The Cat
4,403,http://www.oocities.org/friends_greatestsitcom4/script/403.htm,The One With The Cuffs
4,404,http://www.oocities.org/friends_greatestsitcom4/script/404.htm,The One With The Ballroom Dancing
4,405,http://www.oocities.org/friends_greatestsitcom4/script/405.htm,The One With Joey's New Girlfriend
4,406,http://www.oocities.org/friends_greatestsitcom4/script/406.htm,The One With The Dirty Girl
4,407,http://www.oocities.org/friends_greatestsitcom4/script/407.htm,The One Where Chandler Crosses The Line
4,408,http://www.oocities.org/friends_greatestsitcom4/script/408.htm,The One With Chandler In A Box
4,409,http://www.oocities.org/friends_greatestsitcom4/script/409.htm,The One Where They're Going To Party
4,410,http://www.oocities.org/friends_greatestsitcom4/script/410.htm,The One With The Girl From Poughkeepsie
4,411,http://www.oocities.org/friends_greatestsitcom4/script/411.htm,The One With Phoebe's Uterus
4,412,http://www.oocities.org/friends_greatestsitcom4/script/412.htm,The One With The Embryos
4,413,http://www.oocities.org/friends_greatestsitcom4/script/413.htm,The One With Rachel's Crush
4,414,http://www.oocities.org/friends_greatestsitcom4/script/414.htm,The One With Joey's Dirty Day
4,415,http://www.oocities.org/friends_greatestsitcom4/script/415.htm,The One With All The Rugby
4,416,http://www.oocities.org/friends_greatestsitcom4/script/416.htm,The One With The Fake Party
4,417,http://www.oocities.org/friends_greatestsitcom4/script/417.htm,The One With The Free Porn
4,418,http://www.oocities.org/friends_greatestsitcom4/script/418.htm,The One With Rachel's New Dress
4,419,http://www.oocities.org/friends_greatestsitcom4/script/419.htm,The One With All The Haste
4,420,http://www.oocities.org/friends_greatestsitcom4/script/420.htm,The One With The Wedding Dresses
4,421,http://www.oocities.org/friends_greatestsitcom4/script/421.htm,The One With The Invitation
4,422,http://www.oocities.org/friends_greatestsitcom4/script/422.htm,The One With The Worst Best Man Ever
4,423- 424,http://www.oocities.org/friends_greatestsitcom4/script/423.htm,The One With Ross's Wedding
3,301,http://www.oocities.org/friends_greatestsitcom4/script/301.htm,The One With The Princess Leia Fantasy
3,302,http://www.oocities.org/friends_greatestsitcom4/script/302.htm,The One Where No One's Ready
3,303,http://www.oocities.org/friends_greatestsitcom4/script/303.htm,The One With The Jam
3,304,http://www.oocities.org/friends_greatestsitcom4/script/304.htm,The One With The Metaphorical Tunnel
3,305,http://www.oocities.org/friends_greatestsitcom4/script/305.htm,The One With Frank Jr.
3,306,http://www.oocities.org/friends_greatestsitcom4/script/306.htm,The One With The Flashback
3,307,http://www.oocities.org/friends_greatestsitcom4/script/307.htm,The One With The Race Car Bed
3,308,http://www.oocities.org/friends_greatestsitcom4/script/308.htm,The One With The Giant Poking Device
3,309,http://www.oocities.org/friends_greatestsitcom4/script/309.htm,The One With The Football
3,310,http://www.oocities.org/friends_greatestsitcom4/script/310.htm,The One Where Rachel Quits
3,311,http://www.oocities.org/friends_greatestsitcom4/script/311.htm,TOW Chandler Can't Remember Which Sister
3,312,http://www.oocities.org/friends_greatestsitcom4/script/312.htm,The One With All The Jealousy
3,313,http://www.oocities.org/friends_greatestsitcom4/script/313.htm,TOW Monica And Richard Are Just Friends
3,314,http://www.oocities.org/friends_greatestsitcom4/script/314.htm,The One With Phoebe's Ex-Partner
3,315,http://www.oocities.org/friends_greatestsitcom4/script/315.htm,TOW Ross And Rachel Take A Break
3,316,http://www.oocities.org/friends_greatestsitcom4/script/316.htm,The One The Morning After
